video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,160,2676.315789473684,0.9077,0.2813,0.8905,0.5283,4.0,41.0,0.264,0,clean_catch,0
19bad,161,2693.0427631578946,0.9068,0.2811,0.8901,0.5276,3.9,41.1,0.263,0,clean_catch,0
19bad,162,2709.7697368421054,0.9059,0.2811,0.8893,0.527,3.9,41.1,0.263,0,clean_catch,0
19bad,163,2726.496710526316,0.9051,0.2809,0.8885,0.5264,3.9,41.1,0.262,0,clean_catch,0
19bad,164,2743.2236842105262,0.9049,0.2807,0.888,0.5262,4.0,41.0,0.262,0,clean_catch,0
19bad,165,2759.9506578947367,0.9049,0.2805,0.8876,0.5262,4.0,41.0,0.263,0,clean_catch,0
19bad,166,2776.6776315789475,0.9039,0.2806,0.8871,0.5263,3.9,41.1,0.263,0,clean_catch,0
19bad,167,2793.404605263158,0.9031,0.2797,0.8864,0.5265,3.9,41.1,0.264,0,clean_catch,0
19bad,168,2810.1315789473683,0.9017,0.2785,0.8856,0.5266,3.7,41.3,0.264,0,clean_catch,0
19bad,169,2826.8585526315787,0.9003,0.2766,0.885,0.5259,3.5,41.5,0.265,0,clean_catch,0
19bad,170,2843.5855263157896,0.8993,0.2746,0.8851,0.5249,3.2,41.8,0.264,0,clean_catch,0
19bad,171,2860.3125,0.8987,0.2733,0.8858,0.5239,2.9,42.1,0.263,0,clean_catch,0
19bad,172,2877.0394736842104,0.8983,0.2734,0.8866,0.5235,2.7,42.3,0.262,0,clean_catch,0
19bad,173,2893.7664473684213,0.8985,0.2736,0.887,0.5239,2.6,42.4,0.262,0,clean_catch,0
19bad,174,2910.4934210526317,0.8983,0.2744,0.8867,0.5247,2.7,42.3,0.262,0,clean_catch,0
19bad,175,2927.220394736842,0.8985,0.2744,0.8855,0.5251,3.0,42.0,0.264,0,clean_catch,0
19bad,176,2943.9473684210525,0.8979,0.2742,0.8845,0.5253,3.1,41.9,0.265,0,clean_catch,0
19bad,177,2960.6743421052633,0.8963,0.2741,0.8835,0.5253,2.9,42.1,0.264,0,clean_catch,0
19bad,178,2977.4013157894738,0.8942,0.2741,0.8823,0.525,2.7,42.3,0.263,0,clean_catch,0
19bad,179,2994.128289473684,0.8922,0.2742,0.8812,0.5248,2.5,42.5,0.262,0,clean_catch,0
19bad,180,3010.8552631578946,0.8905,0.2745,0.8807,0.5246,2.3,42.7,0.26,0,clean_catch,0
19bad,181,3027.5822368421054,0.8897,0.2745,0.8797,0.5247,2.3,42.7,0.26,0,clean_catch,0
19bad,182,3044.309210526316,0.8886,0.2746,0.8789,0.5247,2.2,42.8,0.26,0,clean_catch,0
19bad,183,3061.0361842105262,0.8875,0.2748,0.8779,0.5246,2.2,42.8,0.259,0,clean_catch,0
19bad,184,3077.7631578947367,0.8866,0.2748,0.877,0.5242,2.2,42.8,0.259,0,clean_catch,0
19bad,185,3094.4901315789475,0.8859,0.2749,0.8763,0.5239,2.2,42.8,0.259,0,clean_catch,0
19bad,186,3111.217105263158,0.8854,0.2754,0.8764,0.5238,2.1,42.9,0.257,0,clean_catch,0
19bad,187,3127.9440789473683,0.8851,0.2759,0.8765,0.5242,2.0,43.0,0.257,0,clean_catch,0
19bad,188,3144.671052631579,0.8848,0.2763,0.8768,0.5246,1.9,43.1,0.256,0,clean_catch,0
19bad,189,3161.3980263157896,0.8846,0.2767,0.8769,0.525,1.8,43.2,0.256,0,clean_catch,0
19bad,190,3178.125,0.884,0.2772,0.877,0.5254,1.6,43.4,0.255,0,clean_catch,0
19bad,191,3194.8519736842104,0.8836,0.2771,0.8771,0.5255,1.5,43.5,0.255,0,clean_catch,0
19bad,192,3211.5789473684213,0.884,0.2759,0.8771,0.5251,1.6,43.4,0.256,0,clean_catch,0
19bad,193,3228.3059210526317,0.8843,0.2739,0.8772,0.5243,1.6,43.4,0.258,0,clean_catch,0
19bad,194,3245.032894736842,0.8844,0.2718,0.8773,0.5235,1.6,43.4,0.259,0,clean_catch,0
19bad,195,3261.7598684210525,0.8844,0.2704,0.8775,0.5227,1.6,43.4,0.259,0,clean_catch,0
19bad,196,3278.4868421052633,0.8842,0.2697,0.8779,0.5223,1.4,43.6,0.259,0,clean_catch,0
19bad,197,3295.2138157894738,0.8842,0.2698,0.8786,0.5221,1.3,43.7,0.258,0,clean_catch,0
19bad,198,3311.940789473684,0.8846,0.27,0.8791,0.5221,1.2,43.8,0.258,0,clean_catch,0
19bad,199,3328.6677631578946,0.8848,0.2704,0.8795,0.5222,1.2,43.8,0.257,0,clean_catch,0
19bad,200,3345.3947368421054,0.8843,0.2711,0.8796,0.5224,1.1,43.9,0.256,0,clean_catch,0
19bad,201,3362.121710526316,0.8836,0.2722,0.8795,0.5227,1.0,44.0,0.255,0,clean_catch,0
19bad,202,3378.8486842105262,0.883,0.2726,0.8793,0.5231,0.9,44.1,0.254,0,clean_catch,0
19bad,203,3395.5756578947367,0.8823,0.2729,0.8792,0.5233,0.7,44.3,0.253,0,clean_catch,0
19bad,204,3412.3026315789475,0.882,0.273,0.8789,0.5235,0.7,44.3,0.254,0,clean_catch,0
19bad,205,3429.029605263158,0.882,0.273,0.8784,0.5236,0.8,44.2,0.254,0,clean_catch,0
19bad,206,3445.7565789473683,0.8815,0.2731,0.8779,0.5235,0.8,44.2,0.254,0,clean_catch,0
19bad,207,3462.483552631579,0.8805,0.2735,0.8774,0.5232,0.7,44.3,0.253,0,clean_catch,0
19bad,208,3479.2105263157896,0.8796,0.2736,0.8769,0.523,0.7,44.3,0.252,0,clean_catch,0
19bad,209,3495.9375,0.8792,0.2734,0.8765,0.523,0.6,44.4,0.252,0,clean_catch,0
19bad,210,3512.6644736842104,0.8794,0.2731,0.8762,0.5234,0.8,44.2,0.253,0,clean_catch,0
19bad,211,3529.3914473684213,0.8795,0.2729,0.8761,0.524,0.8,44.2,0.255,0,clean_catch,0
19bad,212,3546.1184210526317,0.8796,0.2729,0.8761,0.5246,0.8,44.2,0.255,0,clean_catch,0
19bad,213,3562.845394736842,0.8799,0.2729,0.8761,0.5251,0.9,44.1,0.256,0,clean_catch,0
19bad,214,3579.5723684210525,0.8805,0.2725,0.8761,0.5253,1.0,44.0,0.257,0,clean_catch,0
19bad,215,3596.2993421052633,0.8814,0.2718,0.8759,0.5254,1.3,43.7,0.259,0,clean_catch,0
19bad,216,3613.0263157894738,0.8824,0.2709,0.8757,0.5253,1.5,43.5,0.261,0,clean_catch,0
19bad,217,3629.753289473684,0.8832,0.2703,0.8758,0.5252,1.7,43.3,0.262,0,clean_catch,0
19bad,218,3646.4802631578946,0.8829,0.27,0.8758,0.525,1.6,43.4,0.262,0,clean_catch,0
19bad,219,3663.2072368421054,0.8824,0.27,0.8758,0.525,1.5,43.5,0.262,0,clean_catch,0
19bad,220,3679.934210526316,0.8817,0.2703,0.8758,0.5252,1.3,43.7,0.261,0,clean_catch,0
19bad,221,3696.6611842105262,0.8813,0.2708,0.8757,0.5255,1.3,43.7,0.26,0,clean_catch,0
19bad,222,3713.3881578947367,0.8813,0.2712,0.8755,0.5257,1.3,43.7,0.26,0,clean_catch,0
19bad,223,3730.1151315789475,0.882,0.2716,0.8754,0.5259,1.5,43.5,0.261,0,clean_catch,0
19bad,224,3746.842105263158,0.8821,0.2718,0.8754,0.5259,1.5,43.5,0.261,0,clean_catch,0
19bad,225,3763.5690789473683,0.8822,0.2718,0.8755,0.5259,1.5,43.5,0.261,0,clean_catch,0
19bad,226,3780.296052631579,0.8822,0.2718,0.8755,0.5259,1.5,43.5,0.261,0,clean_catch,0
19bad,227,3797.0230263157896,0.8822,0.2717,0.8755,0.5259,1.5,43.5,0.261,0,clean_catch,0
19bad,228,3813.75,0.8822,0.2716,0.8754,0.526,1.5,43.5,0.261,0,clean_catch,0
19bad,229,3830.4769736842104,0.8822,0.2715,0.8753,0.5261,1.6,43.4,0.261,0,clean_catch,0
19bad,230,3847.2039473684213,0.8822,0.2713,0.8751,0.5261,1.6,43.4,0.262,0,clean_catch,0
19bad,231,3863.9309210526317,0.8822,0.2711,0.875,0.5261,1.6,43.4,0.262,0,clean_catch,0
19bad,232,3880.657894736842,0.8823,0.271,0.8749,0.5259,1.7,43.3,0.262,0,clean_catch,0
19bad,233,3897.3848684210525,0.8827,0.2706,0.8749,0.5254,1.8,43.2,0.263,0,clean_catch,0
19bad,234,3914.1118421052633,0.8825,0.2702,0.8749,0.5248,1.7,43.3,0.262,0,clean_catch,0
19bad,235,3930.8388157894738,0.8818,0.2701,0.8749,0.5242,1.6,43.4,0.261,0,clean_catch,0
19bad,236,3947.565789473684,0.8807,0.2703,0.8749,0.5237,1.3,43.7,0.259,0,clean_catch,0
19bad,237,3964.2927631578946,0.8795,0.2708,0.8751,0.5234,1.0,44.0,0.257,0,clean_catch,0
19bad,238,3981.0197368421054,0.8785,0.2714,0.8754,0.5232,0.7,44.3,0.255,0,clean_catch,0
